用户编号,客户类型
1000000001,高价值型客户
1000000002,大众型客户
1000000003,高价值型客户
1000000004,大众型客户
1000000005,高价值型客户
1000000006,高价值型客户
1000000007,高价值型客户
1000000008,高价值型客户
1000000009,高价值型客户
1000000010,高价值型客户
1000000011,高价值型客户
1000000012,高价值型客户
1000000013,高价值型客户
1000000014,高价值型客户
1000000015,大众型客户
1000000016,高价值型客户
1000000017,高价值型客户
1000000018,大众型客户
1000000019,潜力型客户
1000000020,高价值型客户
1000000021,高价值型客户
1000000022,低价值型客户
1000000023,低价值型客户
1000000024,高价值型客户
1000000025,大众型客户
1000000026,高价值型客户
1000000027,大众型客户
1000000028,低价值型客户
1000000029,大众型客户
1000000030,大众型客户
1000000031,大众型客户
1000000032,低价值型客户
1000000033,低价值型客户
1000000034,高价值型客户
1000000035,高价值型客户
1000000036,低价值型客户
1000000037,大众型客户
1000000038,低价值型客户
1000000039,高价值型客户
1000000040,大众型客户
1000000041,低价值型客户
1000000042,大众型客户
1000000043,大众型客户
1000000044,低价值型客户
1000000045,高价值型客户
1000000046,潜力型客户
1000000047,大众型客户
1000000048,低价值型客户
1000000049,大众型客户
1000000050,大众型客户
1000000051,低价值型客户
1000000052,高价值型客户
1000000053,大众型客户
1000000054,低价值型客户
1000000055,高价值型客户
1000000056,高价值型客户
1000000057,高价值型客户
1000000058,大众型客户
1000000059,高价值型客户
1000000060,高价值型客户
1000000061,大众型客户
1000000062,高价值型客户
1000000063,大众型客户
1000000064,低价值型客户
1000000065,高价值型客户
1000000066,低价值型客户
1000000067,大众型客户
1000000068,高价值型客户
1000000069,低价值型客户
1000000070,大众型客户
1000000071,高价值型客户
1000000072,高价值型客户
1000000073,低价值型客户
1000000074,大众型客户
1000000075,大众型客户
1000000076,高价值型客户
1000000077,高价值型客户
1000000078,低价值型客户
1000000079,低价值型客户
1000000080,大众型客户
1000000081,大众型客户
1000000082,低价值型客户
1000000083,高价值型客户
1000000084,高价值型客户
1000000085,大众型客户
1000000086,低价值型客户
1000000087,大众型客户
1000000088,大众型客户
1000000089,低价值型客户
1000000090,低价值型客户
1000000091,高价值型客户
1000000092,低价值型客户
1000000093,低价值型客户
1000000094,低价值型客户
1000000095,高价值型客户
1000000096,高价值型客户
1000000097,低价值型客户
1000000098,潜力型客户
1000000099,潜力型客户
1000000100,高价值型客户
