id,小时,日期,电量（kWh）,节假日,天气
1,0:00-1:00,5.20,194692.832,0,1
2,1:00-2:00,5.20,191348.543,0,1
3,2:00-3:00,5.20,190644.629,0,1
4,3:00-4:00,5.20,183967.410,0,1
5,4:00-5:00,5.20,181558.111,0,1
6,5:00-6:00,5.20,180469.366,0,1
7,6:00-7:00,5.20,183582.853,0,1
8,7:00-8:00,5.20,181050.546,0,1
9,8:00-9:00,5.20,184462.349,0,1
10,9:00-10:00,5.20,180481.269,0,1
11,10:00-11:00,5.20,169389.917,0,1
12,11:00-12:00,5.20,152937.715,0,1
13,12:00-13:00,5.20,154377.371,0,1
14,13:00-14:00,5.20,160079.939,0,1
15,14:00-15:00,5.20,162050.290,0,1
16,15:00-16:00,5.20,161578.375,0,1
17,16:00-17:00,5.20,163537.443,0,1
18,17:00-18:00,5.20,164303.085,0,1
19,18:00-19:00,5.20,165540.950,0,1
20,19:00-20:00,5.20,177069.683,0,1
21,20:00-21:00,5.20,183322.512,0,1
22,21:00-22:00,5.20,179404.532,0,1
23,22:00-23:00,5.20,185403.211,0,1
24,23:00-24:00,5.20,186544.496,0,1
25,0:00-1:00,5.21,183770.484,0,1
26,1:00-2:00,5.21,183393.904,0,1
27,2:00-3:00,5.21,185334.090,0,1
28,3:00-4:00,5.21,182475.267,0,1
29,4:00-5:00,5.21,180241.623,0,1
30,5:00-6:00,5.21,181192.208,0,1
31,6:00-7:00,5.21,180441.594,0,1
32,7:00-8:00,5.21,173132.243,0,1
33,8:00-9:00,5.21,192064.800,0,1
34,9:00-10:00,5.21,181509.808,0,1
35,10:00-11:00,5.21,160847.029,0,1
36,11:00-12:00,5.21,151036.966,0,1
37,12:00-13:00,5.21,157997.757,0,1
38,13:00-14:00,5.21,162986.945,0,1
39,14:00-15:00,5.21,164735.515,0,1
40,15:00-16:00,5.21,165146.486,0,1
41,16:00-17:00,5.21,162022.268,0,1
42,17:00-18:00,5.21,164728.413,0,1
43,18:00-19:00,5.21,163462.263,0,1
44,19:00-20:00,5.21,174358.309,0,1
45,20:00-21:00,5.21,181629.780,0,1
46,21:00-22:00,5.21,181380.673,0,1
47,22:00-23:00,5.21,186306.200,0,1
48,23:00-24:00,5.21,187964.988,0,1
49,0:00-1:00,5.22,182973.470,1,1
50,1:00-2:00,5.22,192790.846,1,1
51,2:00-3:00,5.22,186473.168,1,1
52,3:00-4:00,5.22,183978.518,1,1
53,4:00-5:00,5.22,178950.961,1,1
54,5:00-6:00,5.22,178058.099,1,1
55,6:00-7:00,5.22,181132.268,1,1
56,7:00-8:00,5.22,182280.553,1,1
57,8:00-9:00,5.22,185002.265,1,1
58,9:00-10:00,5.22,175037.917,1,1
59,10:00-11:00,5.22,168218.999,1,1
60,11:00-12:00,5.22,158535.727,1,1
61,12:00-13:00,5.22,159823.162,1,1
62,13:00-14:00,5.22,164203.249,1,1
63,14:00-15:00,5.22,177024.409,1,1
64,15:00-16:00,5.22,175556.153,1,1
65,16:00-17:00,5.22,177032.871,1,1
66,17:00-18:00,5.22,169107.224,1,1
67,18:00-19:00,5.22,176094.175,1,1
68,19:00-20:00,5.22,185974.694,1,1
69,20:00-21:00,5.22,190346.173,1,1
70,21:00-22:00,5.22,195453.178,1,1
71,22:00-23:00,5.22,194547.304,1,1
72,23:00-24:00,5.22,191011.175,1,1
73,0:00-1:00,5.23,194988.024,1,0
74,1:00-2:00,5.23,193050.567,1,0
75,2:00-3:00,5.23,194068.367,1,0
76,3:00-4:00,5.23,191479.483,1,0
77,4:00-5:00,5.23,189438.099,1,0
78,5:00-6:00,5.23,190100.391,1,0
79,6:00-7:00,5.23,187537.727,1,0
80,7:00-8:00,5.23,186629.774,1,0
81,8:00-9:00,5.23,193882.527,1,0
82,9:00-10:00,5.23,185336.465,1,0
83,10:00-11:00,5.23,177492.328,1,0
84,11:00-12:00,5.23,168282.032,1,0
85,12:00-13:00,5.23,172367.691,1,0
86,13:00-14:00,5.23,178632.388,1,0
87,14:00-15:00,5.23,183604.484,1,0
88,15:00-16:00,5.23,184849.575,1,0
89,16:00-17:00,5.23,187374.441,1,0
90,17:00-18:00,5.23,195551.616,1,0
91,18:00-19:00,5.23,198828.680,1,0
92,19:00-20:00,5.23,208401.896,1,0
93,20:00-21:00,5.23,209812.775,1,0
94,21:00-22:00,5.23,207005.316,1,0
95,22:00-23:00,5.23,209532.989,1,0
96,23:00-24:00,5.23,203604.553,1,0
97,0:00-1:00,5.24,204392.467,0,1
98,1:00-2:00,5.24,206712.669,0,1
99,2:00-3:00,5.24,204591.217,0,1
100,3:00-4:00,5.24,199854.057,0,1
101,4:00-5:00,5.24,200134.705,1,1
102,5:00-6:00,5.24,198040.477,0,1
103,6:00-7:00,5.24,197774.522,0,1
104,7:00-8:00,5.24,203029.177,0,1
105,8:00-9:00,5.24,213397.280,0,1
106,9:00-10:00,5.24,197119.153,0,1
107,10:00-11:00,5.24,191607.621,0,1
108,11:00-12:00,5.24,180972.099,0,1
109,12:00-13:00,5.24,178156.361,0,1
110,13:00-14:00,5.24,184093.940,0,1
111,14:00-15:00,5.24,186515.229,0,1
112,15:00-16:00,5.24,186681.062,0,1
113,16:00-17:00,5.24,185927.999,0,1
114,17:00-18:00,5.24,180949.297,0,1
115,18:00-19:00,5.24,182300.219,0,1
116,19:00-20:00,5.24,197939.901,0,1
117,20:00-21:00,5.24,203164.583,0,1
118,21:00-22:00,5.24,199955.754,0,1
119,22:00-23:00,5.24,201026.687,0,1
120,23:00-24:00,5.24,204073.065,0,1
121,0:00-1:00,5.25,201779.577,0,2
122,1:00-2:00,5.25,203607.667,0,2
123,2:00-3:00,5.25,194945.750,0,2
124,3:00-4:00,5.25,192155.074,0,2
125,4:00-5:00,5.25,194518.008,0,2
126,5:00-6:00,5.25,191024.960,0,2
127,6:00-7:00,5.25,190279.827,0,2
128,7:00-8:00,5.25,191246.879,0,2
129,8:00-9:00,5.25,207103.426,0,2
130,9:00-10:00,5.25,194648.487,0,2
131,10:00-11:00,5.25,187668.166,0,2
132,11:00-12:00,5.25,178689.380,0,2
133,12:00-13:00,5.25,181310.522,0,2
134,13:00-14:00,5.25,190982.886,0,2
135,14:00-15:00,5.25,187655.420,0,2
136,15:00-16:00,5.25,194153.517,0,2
137,16:00-17:00,5.25,196334.786,0,2
138,17:00-18:00,5.25,193523.868,0,2
139,18:00-19:00,5.25,191290.081,0,2
140,19:00-20:00,5.25,203882.011,0,2
141,20:00-21:00,5.25,209844.306,0,2
142,21:00-22:00,5.25,207018.571,0,2
143,22:00-23:00,5.25,203236.493,0,2
144,23:00-24:00,5.25,201795.671,0,2
145,0:00-1:00,5.26,204072.448,0,2
146,1:00-2:00,5.26,203085.249,0,2
147,2:00-3:00,5.26,202870.864,0,2
148,3:00-4:00,5.26,200827.089,0,2
149,4:00-5:00,5.26,202173.108,0,2
150,5:00-6:00,5.26,199910.659,0,2
151,6:00-7:00,5.26,196024.957,0,2
152,7:00-8:00,5.26,195369.296,0,2
153,8:00-9:00,5.26,205503.042,0,2
154,9:00-10:00,5.26,193012.451,0,2
155,10:00-11:00,5.26,188219.805,0,2
156,11:00-12:00,5.26,180392.291,0,2
157,12:00-13:00,5.26,180905.251,0,2
158,13:00-14:00,5.26,186097.610,0,2
159,14:00-15:00,5.26,185867.190,0,2
160,15:00-16:00,5.26,191623.283,0,2
161,16:00-17:00,5.26,191143.955,0,2
162,17:00-18:00,5.26,190956.029,0,2
163,18:00-19:00,5.26,190664.409,0,2
164,19:00-20:00,5.26,201133.201,0,2
165,20:00-21:00,5.26,204653.000,0,2
166,21:00-22:00,5.26,206107.288,0,2
167,22:00-23:00,5.26,213535.857,0,2
168,23:00-24:00,5.26,207255.428,0,2
169,0:00-1:00,5.27,206093.748,1,2
170,1:00-2:00,5.27,203997.884,1,2
171,2:00-3:00,5.27,209031.819,1,2
172,3:00-4:00,5.27,199339.387,1,2
173,4:00-5:00,5.27,199508.780,1,2
174,5:00-6:00,5.27,199266.491,1,2
175,6:00-7:00,5.27,195159.656,1,2
176,7:00-8:00,5.27,199381.807,1,2
177,8:00-9:00,5.27,201506.119,1,2
178,9:00-10:00,5.27,190079.097,1,2
179,10:00-11:00,5.27,178591.283,1,2
180,11:00-12:00,5.27,180230.892,1,2
181,12:00-13:00,5.27,170500.947,1,2
182,13:00-14:00,5.27,182023.976,1,2
183,14:00-15:00,5.27,179889.802,1,2
184,15:00-16:00,5.27,186070.948,1,2
185,16:00-17:00,5.27,189953.223,1,2
186,17:00-18:00,5.27,188966.238,1,2
187,18:00-19:00,5.27,188251.981,1,2
188,19:00-20:00,5.27,204636.194,1,2
189,20:00-21:00,5.27,206535.361,1,2
190,21:00-22:00,5.27,207792.370,1,2
191,22:00-23:00,5.27,206864.299,1,2
192,23:00-24:00,5.27,206848.965,1,2
193,0:00-1:00,5.28,201757.148,1,0
194,1:00-2:00,5.28,199444.415,1,0
195,2:00-3:00,5.28,200299.520,1,0
196,3:00-4:00,5.28,194336.718,1,0
197,4:00-5:00,5.28,193354.279,1,0
198,5:00-6:00,5.28,186468.848,1,0
199,6:00-7:00,5.28,178960.925,1,0
200,7:00-8:00,5.28,184833.777,1,0
201,8:00-9:00,5.28,188432.167,1,0
202,9:00-10:00,5.28,182753.313,1,0
203,10:00-11:00,5.28,170457.472,1,0
204,11:00-12:00,5.28,166570.502,1,0
205,12:00-13:00,5.28,160747.332,1,0
206,13:00-14:00,5.28,167237.926,1,0
207,14:00-15:00,5.28,173206.943,1,0
208,15:00-16:00,5.28,171550.174,1,0
209,16:00-17:00,5.28,175329.318,1,0
210,17:00-18:00,5.28,173871.701,1,0
211,18:00-19:00,5.28,168567.477,1,0
212,19:00-20:00,5.28,184820.260,1,0
213,20:00-21:00,5.28,190820.034,1,0
214,21:00-22:00,5.28,192868.342,1,0
215,22:00-23:00,5.28,195337.141,1,0
216,23:00-24:00,5.28,194025.397,1,0
217,0:00-1:00,5.29,197973.124,0,2
218,1:00-2:00,5.29,186264.842,0,2
219,2:00-3:00,5.29,185299.457,0,2
220,3:00-4:00,5.29,183101.212,0,2
221,4:00-5:00,5.29,181817.604,0,2
222,5:00-6:00,5.29,181338.939,0,2
223,6:00-7:00,5.29,176776.599,0,2
224,7:00-8:00,5.29,171564.932,0,2
225,8:00-9:00,5.29,168741.060,0,2
226,9:00-10:00,5.29,161976.597,0,2
227,10:00-11:00,5.29,146798.767,0,2
228,11:00-12:00,5.29,137624.941,0,2
229,12:00-13:00,5.29,139683.927,0,2
230,13:00-14:00,5.29,144312.559,0,2
231,14:00-15:00,5.29,143061.830,0,2
232,15:00-16:00,5.29,145387.900,0,2
233,16:00-17:00,5.29,147055.428,0,2
234,17:00-18:00,5.29,143974.276,0,2
235,18:00-19:00,5.29,140063.579,0,2
236,19:00-20:00,5.29,156940.332,0,2
237,20:00-21:00,5.29,161041.564,0,2
238,21:00-22:00,5.29,164313.111,0,2
239,22:00-23:00,5.29,168544.281,0,2
240,23:00-24:00,5.29,166635.393,0,2
241,0:00-1:00,5.30,165833.843,0,2
242,1:00-2:00,5.30,167995.652,0,2
243,2:00-3:00,5.30,164855.202,0,2
244,3:00-4:00,5.30,160502.996,0,2
245,4:00-5:00,5.30,150717.282,0,2
246,5:00-6:00,5.30,156222.151,0,2
247,6:00-7:00,5.30,149153.136,0,2
248,7:00-8:00,5.30,137941.725,0,2
249,8:00-9:00,5.30,134965.745,0,2
250,9:00-10:00,5.30,110084.562,0,2
251,10:00-11:00,5.30,107012.777,0,2
252,11:00-12:00,5.30,105120.977,0,2
253,12:00-13:00,5.30,108339.104,0,2
254,13:00-14:00,5.30,107493.681,0,2
255,14:00-15:00,5.30,108853.076,0,2
256,15:00-16:00,5.30,113323.781,0,2
