hour,category,average,average_norm
0:00-1:00,低谷,172941.5638,174601.2615
1:00-2:00,低谷,173900.9086,175895.774
2:00-3:00,低谷,172782.8519,174921.6369
3:00-4:00,低谷,168905.6835,170906.2092
4:00-5:00,低谷,166951.9325,169611.4418
5:00-6:00,低谷,167651.6357,169928.8662
6:00-7:00,低谷,165442.3591,168199.0469
7:00-8:00,低谷,166001.1315,170040.3125
8:00-9:00,平段,172043.6106,176674.5206
9:00-10:00,高峰,161263.621,166040.853
10:00-11:00,高峰,152200.9898,156963.2741
11:00-12:00,高峰,146967.0761,151274.7193
12:00-13:00,平段,148059.4464,152281.067
13:00-14:00,平段,152727.2048,157182.8467
14:00-15:00,平段,154515.4331,159240.8622
15:00-16:00,平段,154947.2043,159459.3676
16:00-17:00,平段,156995.6156,161422.3915
17:00-18:00,平段,157370.2905,162232.3912
18:00-19:00,平段,157012.4945,161877.6997
19:00-20:00,高峰,168950.2091,173729.3406
20:00-21:00,高峰,174098.2879,178350.1251
21:00-22:00,高峰,172198.4671,176120.8816
22:00-23:00,平段,179468.8664,182455.1575
23:00-24:00,平段,177040.5126,180349.9855
