user_id,count,money_average,money_sum
1000000001,8,123.375,987
1000000002,7,70,490
1000000003,7,168.571,1179.997
1000000004,8,77.625,621
1000000005,7,214.286,1500.002
1000000006,7,144.286,1010.002
1000000007,7,158,1106
1000000008,7,153.429,1074.003
1000000009,7,138.571,969.997
1000000010,8,96.625,773
1000000011,7,106.857,747.999
1000000012,7,130.143,911.001
1000000013,7,119.286,835.002
1000000014,7,107,749
1000000015,7,100,700
1000000016,8,98,784
1000000017,7,111.429,780.003
1000000018,7,91.5714,640.9998
1000000019,6,121.5,729
1000000020,7,128.429,899.003
1000000021,7,108.143,757.001
1000000022,6,89,534
1000000023,5,98.6,493
1000000024,7,129.143,904.001
1000000025,7,93,651
1000000026,7,111,777
1000000027,7,90.1429,631.0003
1000000028,6,95.1667,571.0002
1000000029,7,98.7143,691.0001
1000000030,7,95.8571,670.9997
1000000031,7,93.5714,654.9998
1000000032,6,86.5,519
1000000033,6,90.8333,544.9998
1000000034,7,103,721
1000000035,7,109.857,768.999
1000000036,6,107.5,645
1000000037,7,89.5714,626.9998
1000000038,6,89,534
1000000039,7,107.143,750.001
1000000040,7,93.7143,656.0001
1000000041,6,113.833,682.998
1000000042,7,87.4286,612.0002
1000000043,7,91.4286,640.0002
1000000044,6,100.167,601.002
1000000045,7,101.571,710.997
1000000046,6,118.5,711
1000000047,7,93.4286,654.0002
1000000048,6,113,678
1000000049,7,84.1429,589.0003
1000000050,7,81.1429,568.0003
1000000051,6,99.5,597
1000000052,7,109.429,766.003
1000000053,7,99.1429,694.0003
1000000054,6,76.5,459
1000000055,7,112.571,787.997
1000000056,7,102,714
1000000057,7,101.571,710.997
1000000058,7,97.8571,684.9997
1000000059,8,92.5,740
1000000060,7,104.286,730.002
1000000061,7,97.5714,682.9998
1000000062,7,110.429,773.003
1000000063,7,89.7143,628.0001
1000000064,6,86.6667,520.0002
1000000065,7,104.857,733.999
1000000066,6,116.5,699
1000000067,7,98.4286,689.0002
1000000068,7,101.571,710.997
1000000069,6,91.3333,547.9998
1000000070,8,83.375,667
1000000071,7,106,742
1000000072,7,114,798
1000000073,4,101,404
1000000074,7,90.8571,635.9997
1000000075,7,89.8571,628.9997
1000000076,7,103.571,724.997
1000000077,7,102.857,719.999
1000000078,5,118.4,592
1000000079,6,99.5,597
1000000080,7,86.1429,603.0003
1000000081,7,97.1429,680.0003
1000000082,5,101.6,508
1000000083,7,106.857,747.999
1000000084,7,184.143,1289.001
1000000085,7,81.2857,568.9999
1000000086,4,81.25,325
1000000087,7,93,651
1000000088,7,76.8571,537.9997
1000000089,5,77.6,388
1000000090,6,102,612
1000000091,7,108.714,760.998
1000000092,3,84.6667,254.0001
1000000093,5,92.6,463
1000000094,6,104.333,625.998
1000000095,7,142.714,998.998
1000000096,7,130.857,915.999
1000000097,6,108.167,649.002
1000000098,6,122.5,735
1000000099,6,142.167,853.002
1000000100,7,134.714,942.998
